Common Name,Grouping,Other Search Terms,Family,Kingdom,Phylum,Class,Sub-Class,Order,Group Abbre,Common Abbre,LENGTH,LENGTH,Date of Addition,Rank
Yellow Acorn Worm,Acorn Worms,Worms,Ptychoderidae,Animalia,Hemichordata,Enteropneusta,,,ACORWOR,YELLACO,7,7,Pre-2025,311
,Acorn Worms,Worms,,,,,,,ACORWOR,,,,,
Potter's Angelfish,Angelfishes,Fish,Pomacanthidae,Animalia,Chordata,,,,ANGELFI,POTANGL,7,7,Post-2025,
,Angelfishes,Fish,Pomacanthidae,Animalia,Chordata,,,,ANGELFI,,0,7,Pre-2025,7
Amphitrite's Rock Barnacle,Barnacles,Crustaceans,Balanidae,Animalia,Arthropoda,Cirripedia,,,BARNACL,AMPHROC,7,7,Pre-2025,508
Goose Barnacle,Barnacles,Crustaceans,Lepadidae,Animalia,Arthropoda,Cirripedia,,,BARNACL,GOOSBAR,7,7,Pre-2025,514
Hembel's Rock Barnacle,Barnacles,Crustaceans,Chthamalidae,Animalia,Arthropoda,Cirripedia,,,BARNACL,HEMBROC,7,7,Pre-2025,513
Parasitic Lobster Barnacle,Barnacles,Crustaceans,Heteralepadidae,Animalia,Arthropoda,Cirripedia,,,BARNACL,PARALOB,7,7,Pre-2025,515
Proteus' Rock Barnacle,Barnacles,Crustaceans,Chthamalidae,Animalia,Arthropoda,Cirripedia,,,BARNACL,PROTROC,7,7,Pre-2025,511
Purple Rock Barnacles,Barnacles,Crustaceans,Chthamalidae,Animalia,Arthropoda,Cirripedia,,,BARNACL,PURPROC,7,7,Pre-2025,512
Trigonate Barnacle,Barnacles,Crustaceans,Balanidae,Animalia,Arthropoda,Cirripedia,,,BARNACL,TRIGBAR,7,7,Pre-2025,509
Turtle Barnacle,Barnacles,Crustaceans,Chelonibiidae,Animalia,Arthropoda,Cirripedia,,,BARNACL,TURTBAR,7,7,Pre-2025,510
,Barnacles,Crustaceans,,Animalia,Arthropoda,Cirripedia,,,BARNACL,,,,Post-2025,
Great Barracuda,Barracudas,Fish,Sphyraenidae,Animalia,Chordata,,,,BARRACU,GRETBAR,7,7,Post-2025,
,Barracudas,Fish,Sphyraenidae,Animalia,Chordata,,,,BARRACU,,0,7,Pre-2025,8
Common Bigeye,Bigeyes,Fish,Priacanthidae,Animalia,Chordata,,,,BIGEYFI,BMBGEYE,7,7,Post-2025,
Hawaiian Bigeye,Bigeyes,Fish,Priacanthidae,Animalia,Chordata,,,,BIGEYFI,HWBGEYE,7,7,Post-2025,
,Bigeyes,Fish,Priacanthidae,Animalia,Chordata,,,,BIGEYFI,,0,7,Pre-2025,9
